Codigo,Ciudad,Departamento,Barrio,Direccion,Area Terreno,Area Construida,Detalle Disponibilidad,Estrato,Precio,Tipo de Inmueble,Datos Adicionales
17372,MANIZALES,CALDAS,SINAI,KR 7K NO 52 - 50 MZ 26 LT 494  URBANIZACION EL SINAI,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,335520000000,LOTE VIVIENDA,"GRAN OPORTUNIDAD DE INVERSIÓN LOTE CON ÁREA DE 72 M2 UBICADO EN MANIZALES URBANIZACIÓN KR 7K NO 52 - 50 MZ 26 LT 494 URBANIZACIÓN EL SINAI SECTOR DONDE SE ENCUENTRA UBICADO EL LOTE, PREDOMINA EL USO RESIDENCIAL DE TIPO UNIFAMILIAR. TOPOGRAFÍA PLANA."
17373,MANIZALES,CALDAS,SINAI,KR 7L NO 52 - 49   URBANIZACION EL SINAI,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,335520000000,LOTE VIVIENDA,"GRAN OPORTUNIDAD DE INVERSIÓN LOTE CON ÁREA DE 72 M2 UBICADO EN MANIZALES URBANIZACIÓN KR 7L NO 52 - 49   URBANIZACION EL SINAI SECTOR DONDE SE ENCUENTRA UBICADO EL LOTE, PREDOMINA EL USO RESIDENCIAL DE TIPO UNIFAMILIAR TOPOGRAFÍA PLANA."
17374,MANIZALES,CALDAS,SINAI,KR 7L NO 52 - 25 MZ 26 LT 503   URBANIZACION EL SINAI,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,335520000000,LOTE VIVIENDA,"GRAN OPORTUNIDAD DE INVERSIÓN LOTE CON ÁREA DE 72 M2 UBICADO EN MANIZALES URBANIZACIÓN KR 7L NO 52 - 25 MZ 26 LT 503   URBANIZACION EL SINAI SECTOR DONDE SE ENCUENTRA UBICADO EL LOTE, PREDOMINA EL USO RESIDENCIAL DE TIPO UNIFAMILIAR TOPOGRAFÍA PLANA."
17375,MANIZALES,CALDAS,SINAI,KR 7L NO 52 - 13 MZ 26 LT 505   URBANIZACION EL SINAI,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,335520000000,LOTE VIVIENDA,"GRAN OPORTUNIDAD DE INVERSIÓN LOTE CON ÁREA DE 72 M2 UBICADO EN MANIZALES URBANIZACIÓN KR 7L NO 52 - 13 MZ 26 LT 505   URBANIZACION EL SINAI SECTOR DONDE SE ENCUENTRA UBICADO EL LOTE, PREDOMINA EL USO RESIDENCIAL DE TIPO UNIFAMILIAR TOPOGRAFÍA PLANA."
17376,MANIZALES,CALDAS,SINAI,KR 7L NO 55 - 42   URBANIZACION EL SINAI,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,335520000000,LOTE VIVIENDA,"GRAN OPORTUNIDAD DE INVERSIÓN LOTE CON ÁREA DE 72 M2 UBICADO EN MANIZALES KR 7L NO 55 - 42   URBANIZACION EL SINAI SECTOR DONDE SE ENCUENTRA UBICADO EL LOTE, PREDOMINA EL USO RESIDENCIAL DE TIPO UNIFAMILIAR TOPOGRAFÍA PLANA."
17394,BOGOTA,CUNDINAMARCA,,KR 10A-22 S 36,0,0,COMERCIALIZABLE CON RESTRICCION,TRES,7134100500000,CASA,
17404,BOGOTA,CUNDINAMARCA,,KR 45B 38 27 SUR MUZU ETAPA 2 COMERCIO N° 1 MZ 17 LOCAL,0,0,COMERCIALIZABLE CON RESTRICCION,TRES,425700000000,LOCAL,
17510,BOGOTA,CUNDINAMARCA,,DG 48J SUR N° 1A  50,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,328393170351500,LOTE,
17648,BOGOTA,CUNDINAMARCA,,CALLE 82 NO 19A 14,0,0,COMERCIALIZABLE CON RESTRICCION,CINCO,47473628000000,CASA,
17653,SOATA,BOYACÁ,,CL 11  No. 4-45/47/49/53,0,0,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,6829888500000,EDIFICIO,
17657,BOLIVAR - CAUCA,CAUCA,CENTRO,KR 3 # 8-06/22,0,0,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,7378920000000,OFICINA,"EDIFICIO DE LOCALIZACION ESQUINERA EN PROINDIVISO. UBICADO EN ZONA COMERCIAL Y RESIDENCIAL, FRENTE A LA PLAZA BELISARIO GOMEZ Y A LA PARROQUIA. CUENTA CON 10 OFICINAS, 5 BAÑOS, BODEGA Y LOCAL COMERCIAL"
17677,BOGOTA,CUNDINAMARCA,,CALLE 64 BIS SUR No. 78 C 15 BL 8 APTO 301,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,1151024000000,APARTAMENTO,
17745,BOGOTA,CUNDINAMARCA,,CALLE 22D NO. 120-19  -FONTIBÓN,0,0,COMERCIALIZABLE CON RESTRICCION,INDUSTRIAL,274462556400000,BODEGA,
17778,BOGOTA,CUNDINAMARCA,,KR 77 H  No. 65 C - 33 SUR,0,0,COMERCIALIZABLE CON RESTRICCION,DOS,27076410000000,LOTE CON CONSTRUCCION,
17797,BOGOTA,CUNDINAMARCA,,CR 70 No. 49-77,0,0,COMERCIALIZABLE CON RESTRICCION,CUATRO,14482416000000,CASA,
17798,PEREIRA,RISARALDA,,CALLES 18 Y 19  CARRERAS 5 Y 6  SALIDA CARRERA 5  No. 18 - 43 / CARRERA 5  CALLES 18 Y 19  No. 18 - 49 / CALLE 19 No. 5 - 33  ED CLINICA RISARALDA,0,0,COMERCIALIZABLE CON RESTRICCION,CINCO,43343535000000,CLINICA,
17800,CARMEN DE BOLIVAR,BOLÍVAR,,CR 63  No. 241 - 91  URB BUENOS AIRES / CR 63  No. 25 A - 61,0,0,COMERCIALIZABLE CON RESTRICCION,UNO,982368000000,LOTE MIXTO,
17805,ARMERO,TOLIMA,,CASA DE LA HACIENDA BRUJAS HOY ESTANCIA LA SUSANA / TERCERA EDAD,0,0,COMERCIALIZABLE CON RESTRICCION,RURAL,5932757000000,CASA,
17861,EL ROSAL,CUNDINAMARCA,,LA MANCHA VEREDA PUERTA DEL CUERO,0,0,COMERCIALIZABLE CON RESTRICCION,RURAL,109839864000000,LOTE CON CONSTRUCCION,
17865,FUNZA,CUNDINAMARCA,,CALLE 15 No. 1-70,0,0,COMERCIALIZABLE CON RESTRICCION,INDUSTRIAL,21008906000000,BODEGA,
17943,PEREIRA,RISARALDA,,LT B1 SECTOR NARANJITO,0,0,COMERCIALIZABLE CON RESTRICCION,TRES,26981532127600,LOTE VIVIENDA,
17992,BOGOTA,CUNDINAMARCA,,CR 70 NO. 49-77,0,0,COMERCIALIZABLE CON RESTRICCION,CUATRO,14482416000000,CASA,
17993,BOGOTA,CUNDINAMARCA,,AV. 13 # 108-28/48 APARTASUITE 503. ED. LANCASTER HOUSE P.H.,0,0,COMERCIALIZABLE CON RESTRICCION,SEIS,4284570000000,APARTAMENTO,"EL EDIFICIO LANCASTER HOUSE PH. DEL QUE HACE PARTE EL APARTA SUITE EN ESTUDIO, ESTÁ UBICADO EN EL COSTADO ORIENTAL DE LA AVENIDA CARRERA 45 (PARALELA ORIENTAL DE LA AUTOPISTA NORTE, ANTES DENOMINADA AVENIDA 13), ENTRE LAS CALLES 106 B Y 107, BARRIO S"
18010,BUGA,VALLE DEL CAUCA,JOSE MARIA CABAL,KR 15 # 8 – 49/53/55/57,0,0,COMERCIALIZABLE CON RESTRICCION,CUATRO,13525965504000,EDIFICIO VIVIENDA,ESTE CODIGO CONFORMA UN SOLO INMUEBLE  CON EL CODIGO ID 12735
18011,BUGA,VALLE DEL CAUCA,JOSE MARIA CABAL,CR. 16 # 8-50 CALLE 8 Y 9,0,0,COMERCIALIZABLE CON RESTRICCION,CUATRO,1482000000000,LOTE MIXTO,"LOTE MEDIANERO EN PROINDIVISO,UBICADO EN EL AREA CENTRAL DE BUGA,CON DESTINACION COMERCIAL Y CERCANO A SITIOS DE INTERES COMO PARQUES RICAURTE, JOSE MARIA CABAL, COLEGIO GIMNASIO ANDINO Y ESCUELA MARIA AUXILIADORA."
18018,SAN ANTONIO DEL TEQUENDAMA,CUNDINAMARCA,,"LOTE DE TERRENO SAN JOSÉ, VEREDA QUEBRADA GRANDE",0,0,COMERCIALIZABLE CON RESTRICCION,RURAL,18333741240000,FINCA,
18034,AGUAZUL,CASANARE,,LOTE LA MORENA VEREDA LA ESMERALDA,0,0,COMERCIALIZABLE,RURAL,28679755510000,LOTE AGRICOLA,"LOS INMUEBLES IDENTIFICADOS CON ID 18034, 18035 Y 18036, SE VENDEN COMO UNA SOLA UNIDAD COMERCIAL, CON UN AREA TOTAL DE 675.000 M2 Y UN PRECIO MINIMO TOTAL DE $3.236'162.685."
18035,AGUAZUL,CASANARE,,LOTE LA PRADERA VEREDA LA ESMERALDA,0,0,COMERCIALIZABLE CON RESTRICCION,RURAL,8834784000000,LOTE AGRICOLA,"LOS INMUEBLES IDENTIFICADOS CON ID 18034, 18035 Y 18036, SE VENDEN COMO UNA SOLA UNIDAD COMERCIAL, CON UN AREA TOTAL DE 675.000 M2 Y UN PRECIO MINIMO TOTAL DE $3.236'162.685."
18036,AGUAZUL,CASANARE,,LOTE EL SALITRE VEREDA EL SALITRE,0,0,COMERCIALIZABLE CON RESTRICCION,RURAL,4298641200000,LOTE AGRICOLA,"LOS INMUEBLES IDENTIFICADOS CON ID 18034, 18035 Y 18036, SE VENDEN COMO UNA SOLA UNIDAD COMERCIAL, CON UN AREA TOTAL DE 675.000 M2 Y UN PRECIO MINIMO TOTAL DE $3.236'162.685"
18038,GIRARDOT,CUNDINAMARCA,,LOCAL 15 CENTRO COMERCIAL EL PEÑON INN PLAZA,0,0,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,842625180000,LOCAL,
18079,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0205,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18080,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0206,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18083,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0213,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18084,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0214,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18089,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0302,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18090,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0303,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18091,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0304,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18092,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0305,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18109,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0607,0,0,COMERCIALIZABLE,COMERCIAL,265200000000,LOCAL,
18113,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0806,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18114,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0812,0,0,COMERCIALIZABLE,COMERCIAL,238680000000,LOCAL,
18115,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0820,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18116,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0901,0,0,COMERCIALIZABLE,COMERCIAL,104380000000,LOCAL,
18117,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0903,0,0,COMERCIALIZABLE,COMERCIAL,75000000000,LOCAL,
18118,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0904,0,0,COMERCIALIZABLE,COMERCIAL,75000000000,LOCAL,
18119,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0909,0,0,COMERCIALIZABLE,COMERCIAL,75000000000,LOCAL,
18120,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0918,0,0,COMERCIALIZABLE,COMERCIAL,75000000000,LOCAL,
18121,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A0929,0,0,COMERCIALIZABLE,COMERCIAL,75000000000,LOCAL,
18123,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1011,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18124,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1013,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18125,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1014,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18130,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1111,0,0,COMERCIALIZABLE,COMERCIAL,175500000000,LOCAL,
18131,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1210,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18132,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1308,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18134,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1803,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18137,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1910,0,0,COMERCIALIZABLE,COMERCIAL,70250000000,LOCAL,
18138,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1912,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18139,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1913,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18140,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1914,0,0,COMERCIALIZABLE CON RESTRICCION,COMERCIAL,125725000000,LOCAL,
18141,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1915,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18142,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A1917,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18143,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2003,0,0,COMERCIALIZABLE,COMERCIAL,75000000000,LOCAL,
18144,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2009,0,0,COMERCIALIZABLE,COMERCIAL,75000000000,LOCAL,
18145,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2030,0,0,COMERCIALIZABLE,COMERCIAL,175000000000,LOCAL,
18146,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2101,0,0,COMERCIALIZABLE,COMERCIAL,220320000000,LOCAL,
18147,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2103,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18149,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2112,0,0,COMERCIALIZABLE,COMERCIAL,238680000000,LOCAL,
18150,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2201,0,0,COMERCIALIZABLE,COMERCIAL,220320000000,LOCAL,
18151,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2210,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18154,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2222,0,0,COMERCIALIZABLE,COMERCIAL,220320000000,LOCAL,
18157,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2313,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18158,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2314,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18159,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2316,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18160,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2317,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18161,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2318,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18162,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2319,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18164,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2404,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18169,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2409,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18170,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2410,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18174,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2420,0,0,COMERCIALIZABLE,COMERCIAL,175212500000,LOCAL,
18176,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2604,0,0,COMERCIALIZABLE,COMERCIAL,274380000000,LOCAL,
18179,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2706,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18180,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2711,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18182,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2803,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18183,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2804,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18184,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2806,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18185,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2807,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18186,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2809,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18187,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2812,0,0,COMERCIALIZABLE,COMERCIAL,175500000000,LOCAL,
18188,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2814,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
18189,VILLAVICENCIO,META,,CENTRAL MINORISTA DE ABASTOS DE VILLAVICENCIO - CEMERCA Local A2815,0,0,COMERCIALIZABLE,COMERCIAL,125725000000,LOCAL,
